Night,Round,Winner,Score,Loser,Venue
1,Quarter-Final,Rob Cross,6-3,Peter Wright,Cardiff
1,Quarter-Final,Gerwyn Price,6-4,Nathan Aspinall,Cardiff
1,Quarter-Final,Michael Smith,6-5,Michael van Gerwen,Cardiff
1,Quarter-Final,Luke Littler,6-2,Luke Humphries,Cardiff
1,Semi-Final,Gerwyn Price,6-2,Rob Cross,Cardiff
1,Semi-Final,Michael Smith,6-5,Luke Littler,Cardiff
1,Final,Michael Smith,6-2,Gerwyn Price,Cardiff
2,Quarter-Final,Michael van Gerwen,6-4,Nathan Aspinall,Berlin
2,Quarter-Final,Michael Smith,6-5,Gerwyn Price,Berlin
2,Quarter-Final,Luke Littler,6-5,Rob Cross,Berlin
2,Quarter-Final,Luke Humphries,6-4,Peter Wright,Berlin
2,Semi-Final,Michael van Gerwen,6-5,Michael Smith,Berlin
2,Semi-Final,Luke Littler,6-5,Luke Humphries,Berlin
2,Final,Michael van Gerwen,6-5,Luke Littler,Berlin
3,Quarter-Final,Rob Cross,6-4,Michael Smith,Glasgow
3,Quarter-Final,Michael van Gerwen,6-2,Peter Wright,Glasgow
3,Quarter-Final,Luke Humphries,6-3,Nathan Aspinall,Glasgow
3,Quarter-Final,Gerwyn Price,6-5,Luke Littler,Glasgow
3,Semi-Final,Michael van Gerwen,6-4,Rob Cross,Glasgow
3,Semi-Final,Luke Humphries,6-3,Gerwyn Price,Glasgow
3,Final,Michael van Gerwen,6-5,Luke Humphries,Glasgow
4,Quarter-Final,Nathan Aspinall,6-5,Michael Smith,Newcastle
4,Quarter-Final,Rob Cross,6-5,Luke Humphries,Newcastle
4,Quarter-Final,Luke Littler,6-5,Peter Wright,Newcastle
4,Quarter-Final,Michael van Gerwen,6-4,Gerwyn Price,Newcastle
4,Semi-Final,Nathan Aspinall,6-4,Rob Cross,Newcastle
4,Semi-Final,Michael van Gerwen,6-5,Luke Littler,Newcastle
4,Final,Michael van Gerwen,6-4,Nathan Aspinall,Newcastle
5,Quarter-Final,Luke Humphries,6-3,Michael van Gerwen,Exeter
5,Quarter-Final,Nathan Aspinall,6-4,Peter Wright,Exeter
5,Quarter-Final,Rob Cross,6-1,Gerwyn Price,Exeter
5,Quarter-Final,Luke Littler,6-2,Michael Smith,Exeter
5,Semi-Final,Nathan Aspinall,6-5,Luke Humphries,Exeter
5,Semi-Final,Rob Cross,6-3,Luke Littler,Exeter
5,Final,Nathan Aspinall,6-2,Rob Cross,Exeter
6,Quarter-Final,Luke Humphries,6-2,Gerwyn Price,Brighton
6,Quarter-Final,Rob Cross,6-2,Michael van Gerwen,Brighton
6,Quarter-Final,Luke Littler,6-3,Nathan Aspinall,Brighton
6,Quarter-Final,Michael Smith,6-5,Peter Wright,Brighton
6,Semi-Final,Luke Humphries,6-3,Rob Cross,Brighton
6,Semi-Final,Michael Smith,6-3,Luke Littler,Brighton
6,Final,Luke Humphries,6-3,Michael Smith,Brighton
7,Quarter-Final,Peter Wright,6-5,Gerwyn Price,Nottingham
7,Quarter-Final,Luke Humphries,6-4,Michael Smith,Nottingham
